Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Standard Class,Consumer,United States,La Porte,Indiana,46350,Central,Furniture,Furnishings,526.45,5,0.0,31.587
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,1016.792,1,0.2,381.297
Standard Class,Home Office,United States,Pasadena,California,91104,West,Technology,Phones,659.976,3,0.2,49.4982
Second Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Appliances,541.44,6,0.0,157.0176
First Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Chairs,1212.96,7,0.2,90.972
Second Class,Consumer,United States,Atlanta,Georgia,30318,South,Technology,Accessories,499.98,2,0.0,114.9954
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,Copiers,1119.984,2,0.2,377.9946
First Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,614.272,8,0.2,-23.0352
First Class,Corporate,United States,Seattle,Washington,98115,West,Furniture,Tables,892.98,2,0.0,80.3682
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Furniture,Furnishings,595.38,6,0.0,297.69
Standard Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,1399.93,7,0.0,601.9699
Standard Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,503.96,4,0.0,125.99
Second Class,Home Office,United States,Roswell,Georgia,30076,South,Furniture,Chairs,723.92,4,0.0,188.2192
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,547.136,4,0.2,-68.392
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Tables,557.585,5,0.3,0.0
First Class,Corporate,United States,San Francisco,California,94122,West,Furniture,Bookcases,1552.831,7,0.15,200.9546
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,1579.746,7,0.4,-447.5947
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,1071.576,4,0.4,-553.6476
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,613.908,3,0.4,-122.7816
Standard Class,Corporate,United States,Fairfield,Ohio,45014,East,Furniture,Furnishings,532.704,6,0.2,-26.6352
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,1619.91,9,0.0,97.1946
Standard Class,Corporate,United States,Florence,South Carolina,29501,South,Office Supplies,Storage,628.81,7,0.0,12.5762
Standard Class,Corporate,United States,Huntsville,Texas,77340,Central,Furniture,Bookcases,956.6648,7,0.32,-225.0976
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Accessories,1115.91,9,0.0,200.8638
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,Tables,629.064,3,0.2,31.4532
Standard Class,Consumer,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,754.45,5,0.0,60.356
Standard Class,Corporate,United States,Albuquerque,New Mexico,87105,West,Technology,Accessories,595.0,5,0.0,95.2
Standard Class,Corporate,United States,Sparks,Nevada,89431,West,Technology,Machines,2396.4,10,0.2,179.73
First Class,Corporate,United States,Springfield,Virginia,22153,South,Office Supplies,Appliances,826.11,3,0.0,322.1829
Standard Class,Consumer,United States,Farmington,New Mexico,87401,West,Furniture,Furnishings,545.85,9,0.0,114.6285
Standard Class,Consumer,United States,Passaic,New Jersey,7055,East,Office Supplies,Appliances,662.84,4,0.0,172.3384
Standard Class,Consumer,United States,Newport News,Virginia,23602,South,Office Supplies,Storage,571.44,4,0.0,165.7176
First Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,1101.48,4,0.0,429.5772
Second Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,Tables,1322.352,3,0.2,-99.1764
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Storage,1003.62,6,0.0,0.0
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Furniture,Tables,1137.75,5,0.0,250.305
Second Class,Consumer,United States,New York City,New York,10024,East,Technology,Phones,631.96,4,0.0,303.3408
Standard Class,Consumer,United States,Jamestown,New York,14701,East,Technology,Phones,4548.81,7,0.0,1228.1787
Second Class,Consumer,United States,Houston,Texas,77095,Central,Technology,Phones,719.96,5,0.2,53.997
Standard Class,Consumer,United States,Mishawaka,Indiana,46544,Central,Furniture,Chairs,647.84,8,0.0,32.392
Second Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Supplies,8187.65,5,0.0,327.506
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Storage,1117.92,4,0.0,55.896
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Envelopes,604.656,9,0.2,204.0714
Standard Class,Home Office,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Appliances,868.59,3,0.0,251.8911
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Storage,1801.632,6,0.2,-337.806
Same Day,Corporate,United States,San Francisco,California,94122,West,Furniture,Chairs,1348.704,6,0.2,-219.1644
Same Day,Corporate,United States,San Francisco,California,94122,West,Furniture,Chairs,700.152,3,0.2,78.7671
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Technology,Phones,1879.96,5,0.2,211.4955
Standard Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Furnishings,821.88,6,0.0,213.6888
Standard Class,Consumer,United States,Tallahassee,Florida,32303,South,Technology,Phones,705.544,7,0.2,70.5544
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Bookcases,1406.86,7,0.0,140.686
Second Class,Consumer,United States,Bellingham,Washington,98226,West,Furniture,Tables,2665.62,9,0.0,239.9058
Second Class,Consumer,United States,Carrollton,Texas,75007,Central,Technology,Accessories,1399.944,7,0.2,52.4979
Standard Class,Home Office,United States,Lafayette,Indiana,47905,Central,Furniture,Furnishings,526.45,5,0.0,31.587
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Appliances,675.12,3,0.0,290.3016
Standard Class,Consumer,United States,Wheeling,Illinois,60090,Central,Furniture,Tables,601.47,3,0.5,-300.735
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,Binders,914.97,3,0.0,411.7365
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Technology,Phones,587.97,3,0.0,158.7519
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,Storage,530.34,2,0.0,95.4612
Same Day,Consumer,United States,New York City,New York,10035,East,Technology,Machines,1349.85,3,0.0,364.4595
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,Tables,1218.735,5,0.3,-121.8735
First Class,Home Office,United States,New York City,New York,10024,East,Technology,Copiers,11199.968,4,0.2,3919.9888
First Class,Home Office,United States,New York City,New York,10024,East,Technology,Phones,2399.6,8,0.0,647.892
First Class,Corporate,United States,Springfield,Ohio,45503,East,Technology,Machines,652.995,7,0.7,-935.9595
Standard Class,Consumer,United States,New York City,New York,10035,East,Furniture,Chairs,858.24,4,0.1,143.04
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Furniture,Furnishings,821.88,6,0.0,213.6888
Second Class,Corporate,United States,Provo,Utah,84604,West,Furniture,Bookcases,1292.94,3,0.0,77.5764
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Furniture,Chairs,883.84,4,0.2,99.432
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Phones,1979.89,11,0.0,494.9725
Second Class,Corporate,United States,Lowell,Massachusetts,1852,East,Furniture,Chairs,785.88,6,0.0,212.1876
Second Class,Corporate,United States,Lowell,Massachusetts,1852,East,Office Supplies,Storage,1325.85,5,0.0,238.653
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Accessories,619.95,5,0.0,111.591
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Technology,Machines,821.3,4,0.5,-16.426
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Technology,Machines,22638.48,6,0.5,-1811.0784
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Machines,1919.976,3,0.2,215.9973
First Class,Consumer,United States,Toledo,Ohio,43615,East,Technology,Phones,629.958,7,0.4,94.4937
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Accessories,799.96,4,0.0,343.9828
Standard Class,Consumer,United States,Franklin,Massachusetts,2038,East,Furniture,Tables,700.056,3,0.3,-130.0104
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,585.552,3,0.2,73.194
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,Phones,783.96,5,0.2,68.5965
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Appliances,1447.65,5,0.0,419.8185
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,1924.16,8,0.2,312.676
First Class,Home Office,United States,Los Angeles,California,90036,West,Furniture,Chairs,601.536,4,0.2,0.0
Standard Class,Corporate,United States,Redondo Beach,California,90278,West,Technology,Phones,1075.088,14,0.2,94.0702
First Class,Corporate,United States,Miami,Florida,33180,South,Technology,Phones,783.96,5,0.2,78.396
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Bookcases,704.9,5,0.0,56.392
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,561.568,2,0.2,28.0784
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Technology,Accessories,999.96,4,0.0,229.9908
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Tables,653.55,3,0.0,111.1035
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,East,Office Supplies,Storage,1088.76,6,0.0,315.7404
First Class,Consumer,United States,Tallahassee,Florida,32303,South,Technology,Machines,695.7,2,0.5,-27.828
Standard Class,Home Office,United States,Chesapeake,Virginia,23320,South,Furniture,Chairs,1139.92,4,0.0,284.98
Standard Class,Corporate,United States,Woodstock,Illinois,60098,Central,Furniture,Chairs,845.488,8,0.3,-12.0784
Standard Class,Home Office,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,762.594,3,0.8,-1143.891
Standard Class,Corporate,United States,Roswell,Georgia,30076,South,Office Supplies,Binders,2690.97,3,0.0,1264.7559
First Class,Corporate,United States,San Diego,California,92037,West,Furniture,Chairs,1603.136,4,0.2,100.196
Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,Furniture,Bookcases,1628.82,9,0.0,374.6286
Standard Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Storage,811.28,8,0.0,24.3384
Second Class,Consumer,United States,San Diego,California,92037,West,Furniture,Chairs,1013.488,7,0.2,76.0116
Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South,Technology,Copiers,959.968,4,0.2,119.996
Standard Class,Corporate,United States,Highland Park,Illinois,60035,Central,Furniture,Chairs,539.658,3,0.3,-7.7094
Standard Class,Home Office,United States,Burlington,North Carolina,27217,South,Office Supplies,Binders,1633.188,4,0.7,-1306.5504
Standard Class,Corporate,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Chairs,1526.56,7,0.0,427.4368
Same Day,Home Office,United States,Glendale,Arizona,85301,West,Technology,Phones,671.984,2,0.2,50.3988
Second Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Appliances,499.584,3,0.2,43.7136
Second Class,Consumer,United States,Mount Pleasant,South Carolina,29464,South,Furniture,Chairs,545.94,6,0.0,87.3504
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Office Supplies,Storage,1267.65,9,0.0,152.118
Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Binders,895.92,4,0.0,421.0824
First Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Appliances,904.9,5,0.0,253.372
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Technology,Machines,2549.985,5,0.7,-3399.98
Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Office Supplies,Storage,727.296,8,0.2,-172.7328
Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Technology,Accessories,666.4,7,0.2,-33.32
Standard Class,Consumer,United States,Chesapeake,Virginia,23320,South,Furniture,Chairs,504.9,5,0.0,80.784
Same Day,Home Office,United States,Long Beach,California,90805,West,Furniture,Chairs,2054.272,8,0.2,256.784
Second Class,Consumer,United States,Troy,Ohio,45373,East,Technology,Phones,1022.97,5,0.4,-255.7425
Second Class,Home Office,United States,Detroit,Michigan,48227,Central,Technology,Phones,517.9,2,0.0,134.654
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Copiers,2799.96,5,0.2,874.9875
Same Day,Home Office,United States,Toledo,Ohio,43615,East,Office Supplies,Appliances,663.936,4,0.2,82.992
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Storage,2934.33,7,0.0,792.2691
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Furniture,Chairs,981.372,2,0.3,-140.196
Standard Class,Home Office,United States,Louisville,Kentucky,40214,South,Technology,Phones,539.97,3,0.0,134.9925
Second Class,Home Office,United States,Henderson,Kentucky,42420,South,Technology,Phones,671.93,7,0.0,188.1404
Second Class,Corporate,United States,Providence,Rhode Island,2908,East,Office Supplies,Supplies,695.16,6,0.0,34.758
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Machines,837.6,3,0.2,62.82
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Furniture,Chairs,532.704,6,0.2,-39.9528
First Class,Corporate,United States,Lakeland,Florida,33801,South,Furniture,Chairs,1123.92,5,0.2,-182.637
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Storage,1036.624,2,0.2,51.8312
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Storage,563.808,4,0.2,21.1428
First Class,Home Office,United States,Los Angeles,California,90049,West,Technology,Phones,627.168,4,0.2,70.5564
Second Class,Corporate,United States,Seattle,Washington,98105,West,Furniture,Chairs,963.136,4,0.2,108.3528
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Accessories,2025.36,6,0.2,607.608
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Machines,1799.994,2,0.7,-2639.9912
Standard Class,Corporate,United States,Maple Grove,Minnesota,55369,Central,Office Supplies,Binders,735.98,2,0.0,331.191
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,528.43,5,0.3,0.0
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Technology,Accessories,826.62,3,0.0,355.4466
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Storage,1633.14,9,0.0,473.6106
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Storage,544.38,3,0.0,157.8702
Standard Class,Consumer,United States,San Diego,California,92037,West,Technology,Phones,601.536,8,0.2,60.1536
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Binders,931.176,3,0.2,314.2719
First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,733.95,7,0.0,352.296
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Copiers,3359.952,6,0.2,1049.985
Second Class,Corporate,United States,Alexandria,Virginia,22304,South,Office Supplies,Supplies,4164.05,5,0.0,83.281
First Class,Home Office,United States,New York City,New York,10035,East,Technology,Machines,1704.89,11,0.0,767.2005
Same Day,Corporate,United States,San Francisco,California,94122,West,Technology,Machines,1919.976,3,0.2,215.9973
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Technology,Phones,539.964,6,0.4,-107.9928
Standard Class,Consumer,United States,San Diego,California,92037,West,Furniture,Chairs,603.92,5,0.2,45.294
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,Chairs,662.88,3,0.2,74.574
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,896.99,5,0.8,-1480.0335
First Class,Consumer,United States,Oakland,California,94601,West,Furniture,Tables,568.728,3,0.2,28.4364
Same Day,Consumer,United States,Norman,Oklahoma,73071,Central,Technology,Accessories,1287.45,5,0.0,244.6155
Second Class,Consumer,United States,New York City,New York,10035,East,Technology,Phones,1799.75,5,0.0,539.925
Standard Class,Home Office,United States,Charlotte,North Carolina,28205,South,Office Supplies,Storage,580.672,4,0.2,65.3256
Standard Class,Home Office,United States,Seattle,Washington,98103,West,Technology,Phones,1091.168,4,0.2,68.198
Standard Class,Corporate,United States,Richmond,Kentucky,40475,South,Office Supplies,Paper,629.1,6,0.0,301.968
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Machines,558.4,2,0.2,41.88
Standard Class,Home Office,United States,Dubuque,Iowa,52001,Central,Furniture,Chairs,1408.1,10,0.0,394.268
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Appliances,2504.74,7,0.0,626.185
First Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Binders,538.194,2,0.7,-412.6154
Standard Class,Corporate,United States,San Francisco,California,94110,West,Furniture,Tables,1421.664,6,0.2,-195.4788
First Class,Corporate,United States,Springfield,Virginia,22153,South,Technology,Phones,579.95,5,0.0,168.1855
First Class,Corporate,United States,Springfield,Virginia,22153,South,Furniture,Tables,1202.94,3,0.0,300.735
Standard Class,Corporate,United States,Saint Cloud,Minnesota,56301,Central,Technology,Accessories,655.9,5,0.0,275.478
Standard Class,Corporate,United States,Saint Cloud,Minnesota,56301,Central,Furniture,Chairs,603.92,4,0.0,181.176
Standard Class,Home Office,United States,Los Angeles,California,90036,West,Furniture,Tables,513.024,2,0.2,12.8256
Second Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Storage,900.08,4,0.0,117.0104
Standard Class,Consumer,United States,Plano,Texas,75023,Central,Office Supplies,Storage,509.488,7,0.2,-127.372
First Class,Corporate,United States,Chicago,Illinois,60653,Central,Furniture,Bookcases,825.174,9,0.3,-117.882
First Class,Consumer,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Appliances,569.536,4,0.2,64.0728
First Class,Home Office,United States,Aurora,Illinois,60505,Central,Furniture,Tables,796.425,7,0.5,-525.6405
Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Technology,Phones,657.552,6,0.2,49.3164
Second Class,Home Office,United States,Jackson,Mississippi,39212,South,Technology,Accessories,599.97,3,0.0,257.9871
Second Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,844.116,6,0.3,-36.1764
Second Class,Home Office,United States,Chicago,Illinois,60653,Central,Technology,Phones,812.736,8,0.2,60.9552
Second Class,Consumer,United States,Los Angeles,California,90036,West,Technology,Phones,604.752,6,0.2,37.797
Standard Class,Home Office,United States,Independence,Missouri,64055,Central,Office Supplies,Binders,1577.94,3,0.0,757.4112
Same Day,Home Office,United States,Seattle,Washington,98105,West,Technology,Machines,2395.2,6,0.2,209.58
Same Day,Home Office,United States,Seattle,Washington,98105,West,Technology,Accessories,1687.8,4,0.0,742.632
Standard Class,Consumer,United States,Jackson,Mississippi,39212,South,Furniture,Tables,2430.08,8,0.0,388.8128
Standard Class,Corporate,United States,Jackson,Michigan,49201,Central,Furniture,Tables,801.96,2,0.0,200.49
Standard Class,Home Office,United States,Lancaster,Ohio,43130,East,Technology,Phones,1169.694,3,0.4,-253.4337
First Class,Consumer,United States,Lafayette,Louisiana,70506,South,Office Supplies,Supplies,1665.62,2,0.0,33.3124
Standard Class,Home Office,United States,Richmond,Kentucky,40475,South,Office Supplies,Storage,1443.96,12,0.0,375.4296
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Chairs,657.93,5,0.3,-93.99
First Class,Corporate,United States,San Antonio,Texas,78207,Central,Furniture,Tables,718.116,6,0.3,-71.8116
Second Class,Home Office,United States,San Francisco,California,94109,West,Furniture,Chairs,681.408,12,0.2,42.588
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,2060.744,7,0.2,643.9825
Second Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Storage,763.44,8,0.0,45.8064
Standard Class,Consumer,United States,Lawrence,Indiana,46226,Central,Office Supplies,Appliances,638.73,9,0.0,166.0698
Standard Class,Corporate,United States,Decatur,Alabama,35601,South,Technology,Copiers,899.97,3,0.0,314.9895
First Class,Corporate,United States,Los Angeles,California,90045,West,Furniture,Tables,510.24,3,0.2,6.378
Second Class,Consumer,United States,Olympia,Washington,98502,West,Furniture,Chairs,603.92,5,0.2,45.294
Standard Class,Corporate,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,551.985,5,0.7,-459.9875
Standard Class,Corporate,United States,Clinton,Maryland,20735,East,Office Supplies,Storage,636.86,7,0.0,0.0
Standard Class,Corporate,United States,Clinton,Maryland,20735,East,Technology,Phones,499.99,1,0.0,129.9974
Standard Class,Corporate,United States,Clinton,Maryland,20735,East,Technology,Phones,1259.93,7,0.0,327.5818
Second Class,Corporate,United States,Inglewood,California,90301,West,Technology,Copiers,879.984,2,0.2,329.994
Second Class,Corporate,United States,Inglewood,California,90301,West,Office Supplies,Binders,841.568,2,0.2,294.5488
First Class,Corporate,United States,Odessa,Texas,79762,Central,Furniture,Chairs,563.43,5,0.3,-56.343
Second Class,Corporate,United States,Hialeah,Florida,33012,South,Furniture,Chairs,1013.832,9,0.2,101.3832
Standard Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Tables,2003.52,6,0.2,-325.572
Standard Class,Home Office,United States,Chula Vista,California,91911,West,Furniture,Furnishings,665.88,6,0.0,106.5408
Second Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,720.064,4,0.2,-63.0056
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Office Supplies,Storage,1085.42,7,0.0,282.2092
First Class,Corporate,United States,Greensboro,North Carolina,27405,South,Furniture,Tables,523.764,3,0.4,-192.0468
First Class,Corporate,United States,Greensboro,North Carolina,27405,South,Technology,Phones,1359.96,5,0.2,118.9965
Standard Class,Corporate,United States,Plantation,Florida,33317,South,Furniture,Chairs,523.92,5,0.2,-72.039
Same Day,Consumer,United States,Jacksonville,Florida,32216,South,Technology,Phones,823.96,5,0.2,51.4975
Standard Class,Consumer,United States,Mobile,Alabama,36608,South,Furniture,Tables,801.96,2,0.0,200.49
Standard Class,Consumer,United States,Mobile,Alabama,36608,South,Furniture,Chairs,1056.86,7,0.0,306.4894
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Storage,991.2,6,0.0,257.712
Standard Class,Consumer,United States,New York City,New York,10011,East,Technology,Copiers,879.984,2,0.2,329.994
Standard Class,Corporate,United States,Detroit,Michigan,48234,Central,Furniture,Chairs,1458.65,5,0.0,423.0085
Same Day,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,1049.97,5,0.4,-209.994
Same Day,Corporate,United States,Columbus,Ohio,43229,East,Furniture,Chairs,611.058,3,0.3,-34.9176
Standard Class,Consumer,United States,North Las Vegas,Nevada,89031,West,Technology,Phones,911.984,2,0.2,113.998
Standard Class,Consumer,United States,North Las Vegas,Nevada,89031,West,Furniture,Chairs,674.352,3,0.2,-109.5822
First Class,Corporate,United States,Los Angeles,California,90049,West,Furniture,Bookcases,616.998,6,0.15,-36.294
Second Class,Home Office,United States,Canton,Michigan,48187,Central,Office Supplies,Storage,501.81,3,0.0,0.0
First Class,Consumer,United States,Fayetteville,Arkansas,72701,South,Office Supplies,Binders,691.96,4,0.0,318.3016
Second Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,823.96,5,0.2,51.4975
Second Class,Consumer,United States,San Diego,California,92105,West,Furniture,Chairs,842.352,3,0.2,42.1176
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Accessories,659.9,2,0.0,217.767
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,Chairs,1684.752,6,0.2,210.594
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Accessories,559.92,8,0.0,190.3728
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Storage,563.808,4,0.2,21.1428
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Furnishings,547.136,4,0.2,-68.392
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Furniture,Tables,801.6,5,0.5,-448.896
Same Day,Consumer,United States,Greenwood,Indiana,46142,Central,Furniture,Chairs,1424.9,5,0.0,356.225
Standard Class,Consumer,United States,Buffalo,New York,14215,East,Office Supplies,Supplies,835.17,7,0.0,16.7034
Second Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Copiers,2799.96,5,0.2,944.9865
Standard Class,Home Office,United States,Plainfield,New Jersey,7060,East,Office Supplies,Storage,2591.56,4,0.0,621.9744
Standard Class,Consumer,United States,Kenosha,Wisconsin,53142,Central,Furniture,Bookcases,512.94,3,0.0,97.4586
Standard Class,Consumer,United States,Kenosha,Wisconsin,53142,Central,Furniture,Chairs,860.93,7,0.0,189.4046
Standard Class,Consumer,United States,Kenosha,Wisconsin,53142,Central,Technology,Phones,769.95,5,0.0,223.2855
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Tables,637.896,3,0.3,-127.5792
Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,Office Supplies,Appliances,542.94,3,0.0,152.0232
Standard Class,Consumer,United States,Chester,Pennsylvania,19013,East,Furniture,Chairs,853.93,5,0.3,0.0
First Class,Corporate,United States,San Francisco,California,94110,West,Furniture,Bookcases,556.665,5,0.15,6.549
Standard Class,Corporate,United States,San Francisco,California,94110,West,Technology,Machines,767.952,6,0.2,287.982
First Class,Corporate,United States,New York City,New York,10035,East,Technology,Accessories,599.9,10,0.0,191.968
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Storage,1801.632,6,0.2,-337.806
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Storage,646.2,5,0.2,-8.0775
Standard Class,Consumer,United States,Oakland,California,94601,West,Furniture,Chairs,572.16,3,0.2,35.76
Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South,Technology,Phones,978.84,9,0.2,110.1195
Second Class,Home Office,United States,Indianapolis,Indiana,46203,Central,Technology,Copiers,999.98,2,0.0,449.991
First Class,Home Office,United States,Broken Arrow,Oklahoma,74012,Central,Technology,Phones,821.94,6,0.0,213.7044
Standard Class,Consumer,United States,Jonesboro,Arkansas,72401,South,Furniture,Bookcases,638.82,9,0.0,172.4814
Standard Class,Consumer,United States,Florence,Kentucky,41042,South,Technology,Machines,3080.0,7,0.0,1416.8
Standard Class,Consumer,United States,Florence,Kentucky,41042,South,Technology,Phones,587.97,3,0.0,170.5113
Standard Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,9449.95,5,0.0,4630.4755
First Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,1219.96,5,0.2,381.2375
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Machines,2624.985,3,0.5,-944.9946
Standard Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Storage,1575.14,7,0.0,204.7682
Standard Class,Consumer,United States,New York City,New York,10035,East,Technology,Phones,539.97,3,0.0,134.9925
Standard Class,Consumer,United States,Dover,New Hampshire,3820,East,Office Supplies,Binders,671.94,3,0.0,315.8118
Standard Class,Corporate,United States,Columbia,South Carolina,29203,South,Technology,Phones,629.95,5,0.0,163.787
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Technology,Copiers,10499.97,3,0.0,5039.9856
Standard Class,Corporate,United States,Boise,Idaho,83704,West,Furniture,Tables,696.42,2,0.0,160.1766
Same Day,Home Office,United States,New York City,New York,10024,East,Technology,Copiers,799.984,2,0.2,249.995
