Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Sales Per Quantity,Discount Amount,Performance,Loss Order
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Labels,33.12,4,0.2,11.592,35.0,8.28,6.624,Low Profit,False
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Furniture,Bookcases,220.2656,4,0.32,-42.1096,-19.11764705882353,55.0664,70.484992,Loss,True
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,10.776,3,0.2,3.5022,32.5,3.592,2.1552000000000002,Low Profit,False
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Bookcases,242.352,3,0.2,9.0882,3.75,80.784,48.470400000000005,Low Profit,False
Second Class,Corporate,United States,Providence,Rhode Island,2908,East,Office Supplies,Supplies,695.16,6,0.0,34.758,5.0,115.86,0.0,Low Profit,False
Second Class,Corporate,United States,Providence,Rhode Island,2908,East,Furniture,Bookcases,220.98,1,0.0,50.8254,23.0,220.98,0.0,Low Profit,False
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,Office Supplies,Binders,12.957,7,0.7,-9.5018,-73.33333333333333,1.8510000000000002,9.0699,Loss,True
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,25.68,6,0.0,11.556,44.99999999999999,4.28,0.0,Low Profit,False
Standard Class,Corporate,United States,Houston,Texas,77070,Central,Office Supplies,Labels,15.712,4,0.2,5.6956,36.25,3.928,3.1424000000000003,Low Profit,False
Standard Class,Home Office,United States,Aurora,Illinois,60505,Central,Office Supplies,Storage,298.464,6,0.2,26.1156,8.75,49.744,59.692800000000005,Low Profit,False
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,21.93,3,0.0,10.0878,46.0,7.31,0.0,Low Profit,False
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,242.94,3,0.0,4.8588,1.9999999999999998,80.98,0.0,Low Profit,False
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,7.64,1,0.0,3.7436,49.0,7.64,0.0,Low Profit,False
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,51.84,8,0.0,25.4016,48.99999999999999,6.48,0.0,Low Profit,False
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,265.17,1,0.0,47.7306,18.0,265.17,0.0,Low Profit,False
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Machines,837.6,3,0.2,62.82,7.5,279.2,167.52,Low Profit,False
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Envelopes,135.9,5,0.0,63.873,47.0,27.18,0.0,Low Profit,False
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,34.68,6,0.0,16.9932,49.00000000000001,5.78,0.0,Low Profit,False
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Furniture,Chairs,532.704,6,0.2,-39.9528,-7.500000000000001,88.78399999999999,106.54079999999999,Loss,True
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Appliances,43.1,5,0.0,11.206,25.999999999999996,8.620000000000001,0.0,Low Profit,False
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Supplies,15.88,4,0.0,0.1588,0.9999999999999999,3.97,0.0,Low Profit,False
First Class,Corporate,United States,Lakeland,Florida,33801,South,Furniture,Chairs,1123.92,5,0.2,-182.637,-16.249999999999996,224.78400000000002,224.78400000000002,Loss,True
First Class,Corporate,United States,Lakeland,Florida,33801,South,Technology,Phones,249.584,2,0.2,31.198,12.5,124.792,49.9168,Low Profit,False
First Class,Corporate,United States,Lakeland,Florida,33801,South,Furniture,Furnishings,48.672,3,0.2,7.3008,15.0,16.224,9.7344,Low Profit,False
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Art,60.768,2,0.2,7.596,12.5,30.384,12.1536,Low Profit,False
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Binders,78.6,5,0.7,-62.88,-80.0,15.719999999999999,55.019999999999996,Loss,True
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Binders,3.768,2,0.7,-3.14,-83.33333333333334,1.884,2.6375999999999995,Loss,True
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Storage,1036.624,2,0.2,51.8312,5.0,518.312,207.3248,Low Profit,False
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Storage,563.808,4,0.2,21.1428,3.7500000000000004,140.952,112.7616,Low Profit,False
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,258.528,2,0.4,-47.3968,-18.333333333333332,129.264,103.41120000000001,Loss,True
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,49.12,4,0.0,23.0864,47.0,12.28,0.0,Low Profit,False
First Class,Home Office,United States,Los Angeles,California,90049,West,Furniture,Furnishings,44.46,2,0.0,14.6718,32.99999999999999,22.23,0.0,Low Profit,False
First Class,Home Office,United States,Los Angeles,California,90049,West,Furniture,Chairs,241.568,2,0.2,18.1176,7.5,120.784,48.31360000000001,Low Profit,False
First Class,Home Office,United States,Los Angeles,California,90049,West,Technology,Accessories,395.0,5,0.0,39.5,10.0,79.0,0.0,Low Profit,False
First Class,Home Office,United States,Los Angeles,California,90049,West,Technology,Phones,627.168,4,0.2,70.5564,11.249999999999998,156.792,125.43360000000001,Low Profit,False
First Class,Corporate,United States,Oceanside,New York,11572,East,Furniture,Furnishings,13.28,2,0.0,6.3744,48.0,6.64,0.0,Low Profit,False
First Class,Corporate,United States,Oceanside,New York,11572,East,Office Supplies,Binders,12.672,3,0.2,4.4352,35.0,4.224,2.5344,Low Profit,False
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,30.56,5,0.8,-45.84,-150.00000000000003,6.112,24.448,Loss,True
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Storage,77.952,3,0.2,-15.5904,-20.0,25.983999999999998,15.5904,Loss,True
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Technology,Phones,67.992,1,0.2,8.499,12.5,67.992,13.598400000000002,Low Profit,False
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Envelopes,12.224,2,0.2,4.4312,36.24999999999999,6.112,2.4448000000000003,Low Profit,False
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Technology,Accessories,44.784,2,0.2,-0.5598,-1.25,22.392,8.9568,Loss,True
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Furniture,Furnishings,22.848,3,0.6,-17.7072,-77.5,7.616,13.708799999999998,Loss,True
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Appliances,206.43,3,0.0,90.8292,44.0,68.81,0.0,Low Profit,False
Same Day,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,210.392,2,0.8,-336.6272,-160.0,105.196,168.3136,Loss,True
Second Class,Consumer,United States,Cincinnati,Ohio,45231,East,Technology,Accessories,119.96,5,0.2,35.988,30.0,23.991999999999997,23.992,Low Profit,False
Second Class,Consumer,United States,Cincinnati,Ohio,45231,East,Office Supplies,Art,10.608,6,0.2,0.9282,8.75,1.768,2.1216000000000004,Low Profit,False
Standard Class,Corporate,United States,Austin,Texas,78745,Central,Furniture,Chairs,347.802,7,0.3,-24.843,-7.142857142857142,49.686,104.34060000000001,Loss,True
Second Class,Corporate,United States,Seattle,Washington,98105,West,Furniture,Chairs,963.136,4,0.2,108.3528,11.25,240.784,192.62720000000002,High Profit,False
Second Class,Corporate,United States,Seattle,Washington,98105,West,Technology,Phones,88.776,3,0.2,7.7679,8.75,29.592,17.7552,Low Profit,False
Second Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Art,32.4,5,0.0,10.368,32.0,6.4799999999999995,0.0,Low Profit,False
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,32.4,5,0.0,15.552,48.0,6.4799999999999995,0.0,Low Profit,False
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Labels,31.05,3,0.0,14.904,48.0,10.35,0.0,Low Profit,False
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Accessories,2025.36,6,0.2,607.608,30.0,337.56,405.072,High Profit,False
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Machines,1799.994,2,0.7,-2639.9912,-146.66666666666669,899.997,1259.9958,Loss,True
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Phones,101.988,2,0.4,-16.998,-16.666666666666668,50.994,40.7952,Loss,True
First Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Furnishings,262.864,7,0.2,69.0018,26.25,37.552,52.5728,Low Profit,False
Standard Class,Corporate,United States,Maple Grove,Minnesota,55369,Central,Office Supplies,Binders,735.98,2,0.0,331.191,44.99999999999999,367.99,0.0,High Profit,False
Second Class,Home Office,United States,Glendale,Arizona,85301,West,Office Supplies,Paper,93.024,3,0.2,33.7212,36.25000000000001,31.008,18.6048,Low Profit,False
Standard Class,Corporate,United States,New York City,New York,10009,East,Furniture,Tables,284.364,2,0.4,-75.8304,-26.666666666666668,142.182,113.7456,Loss,True
Standard Class,Corporate,United States,New York City,New York,10009,East,Technology,Accessories,26.0,2,0.0,11.7,44.99999999999999,13.0,0.0,Low Profit,False
First Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Storage,67.64,5,0.2,5.9185,8.75,13.528,13.528,Low Profit,False
First Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Technology,Accessories,119.976,3,0.2,-17.9964,-15.000000000000002,39.992,23.9952,Loss,True
Second Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,5.18,5,0.8,-8.029,-155.0,1.036,4.144,Loss,True
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Envelopes,15.56,2,0.0,7.3132,47.0,7.78,0.0,Low Profit,False
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Envelopes,78.35,5,0.0,36.8245,47.0,15.669999999999998,0.0,Low Profit,False
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,59.52,3,0.0,15.4752,25.999999999999996,19.84,0.0,Low Profit,False
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Paper,38.52,9,0.0,17.334,44.99999999999999,4.28,0.0,Low Profit,False
Standard Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,239.984,2,0.2,23.9984,10.0,119.992,47.99680000000001,Low Profit,False
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Paper,19.35,3,0.0,9.4815,49.0,6.45,0.0,Low Profit,False
First Class,Consumer,United States,Lansing,Michigan,48911,Central,Furniture,Furnishings,67.0,5,0.0,32.16,47.99999999999999,13.4,0.0,Low Profit,False
Standard Class,Corporate,United States,Tallahassee,Florida,32303,South,Furniture,Chairs,390.272,8,0.2,-24.392,-6.25,48.784,78.0544,Loss,True
Standard Class,Corporate,United States,Tallahassee,Florida,32303,South,Office Supplies,Paper,62.192,13,0.2,19.435,31.25,4.784,12.438400000000001,Low Profit,False
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Office Supplies,Binders,23.88,6,0.0,11.2236,47.0,3.98,0.0,Low Profit,False
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,3.168,2,0.8,-4.752,-149.99999999999997,1.584,2.5344,Loss,True
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,528.43,5,0.3,0.0,0.0,105.68599999999999,158.52899999999997,Low Profit,False
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Art,13.392,3,0.2,1.5066,11.25,4.4639999999999995,2.6784,Low Profit,False
Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Art,181.86,7,0.0,50.9208,27.999999999999996,25.98,0.0,Low Profit,False
Standard Class,Consumer,United States,Fort Collins,Colorado,80525,West,Furniture,Bookcases,180.588,2,0.7,-240.784,-133.33333333333331,90.294,126.41159999999999,Loss,True
Standard Class,Consumer,United States,Fort Collins,Colorado,80525,West,Technology,Accessories,47.984,2,0.2,0.5998,1.25,23.992,9.5968,Low Profit,False
Same Day,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,18.76,2,0.0,9.0048,47.99999999999999,9.38,0.0,Low Profit,False
Standard Class,Corporate,United States,New York City,New York,10011,East,Furniture,Furnishings,20.94,3,0.0,6.0726,28.999999999999996,6.98,0.0,Low Profit,False
Standard Class,Corporate,United States,New York City,New York,10011,East,Furniture,Furnishings,58.68,2,0.0,18.1908,31.0,29.34,0.0,Low Profit,False
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Appliances,254.9,5,0.0,68.823,26.999999999999996,50.980000000000004,0.0,Low Profit,False
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Binders,9.64,2,0.0,4.4344,46.0,4.82,0.0,Low Profit,False
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Technology,Accessories,826.62,3,0.0,355.4466,43.0,275.54,0.0,High Profit,False
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Storage,1633.14,9,0.0,473.6106,28.999999999999996,181.46,0.0,High Profit,False
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Storage,544.38,3,0.0,157.8702,29.000000000000004,181.46,0.0,High Profit,False
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,26.046,3,0.8,-44.2782,-170.0,8.682,20.8368,Loss,True
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,74.352,3,0.2,26.9526,36.25,24.784000000000002,14.870400000000002,Low Profit,False
Standard Class,Corporate,United States,Lowell,Massachusetts,1852,East,Technology,Phones,69.93,7,0.0,32.1678,46.0,9.99,0.0,Low Profit,False
Second Class,Corporate,United States,Woodland,California,95695,West,Office Supplies,Labels,3.75,1,0.0,1.8,48.00000000000001,3.75,0.0,Low Profit,False
Second Class,Corporate,United States,Woodland,California,95695,West,Office Supplies,Binders,20.928,4,0.2,7.5864,36.25,5.232,4.1856,Low Profit,False
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Storage,12.672,3,0.2,-3.168,-25.0,4.224,2.5344,Loss,True
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Phones,65.99,1,0.0,17.1574,26.0,65.99,0.0,Low Profit,False
Standard Class,Corporate,United States,Missouri City,Texas,77489,Central,Office Supplies,Binders,6.37,7,0.8,-9.555,-150.0,0.91,5.096,Loss,True
First Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Binders,3.648,3,0.8,-6.0192,-165.0,1.216,2.9184,Loss,True
First Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Paper,31.104,6,0.2,10.8864,35.0,5.184,6.2208000000000006,Low Profit,False
Standard Class,Home Office,United States,Jackson,Mississippi,39212,South,Office Supplies,Fasteners,23.34,3,0.0,0.2334,1.0,7.78,0.0,Low Profit,False
Standard Class,Corporate,United States,New York City,New York,10009,East,Technology,Phones,29.97,3,0.0,14.0859,47.0,9.99,0.0,Low Profit,False
Same Day,Consumer,United States,Tempe,Arizona,85281,West,Office Supplies,Binders,3.366,3,0.7,-2.244,-66.66666666666667,1.122,2.3562,Loss,True
Standard Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Technology,Phones,95.968,4,0.2,9.5968,10.0,23.992,19.1936,Low Profit,False
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Art,18.704,7,0.2,2.338,12.5,2.672,3.7408,Low Profit,False
Second Class,Consumer,United States,Akron,Ohio,44312,East,Furniture,Furnishings,149.232,3,0.2,3.7308,2.5,49.744,29.846400000000003,Low Profit,False
Second Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Paper,15.936,4,0.2,5.7768,36.25,3.984,3.1872000000000003,Low Profit,False
Standard Class,Consumer,United States,San Diego,California,92037,West,Technology,Phones,601.536,8,0.2,60.1536,10.0,75.192,120.3072,Low Profit,False
Standard Class,Consumer,United States,San Diego,California,92037,West,Technology,Accessories,10.99,1,0.0,4.2861,39.0,10.99,0.0,Low Profit,False
Standard Class,Consumer,United States,San Diego,California,92037,West,Furniture,Furnishings,39.88,2,0.0,11.1664,27.999999999999996,19.94,0.0,Low Profit,False
Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Paper,62.24,8,0.0,28.008,44.99999999999999,7.78,0.0,Low Profit,False
Standard Class,Consumer,United States,San Diego,California,92037,West,Furniture,Furnishings,53.2,5,0.0,14.896,28.000000000000004,10.64,0.0,Low Profit,False
Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Labels,39.84,8,0.0,18.3264,46.0,4.98,0.0,Low Profit,False
Standard Class,Corporate,United States,Fresno,California,93727,West,Technology,Accessories,349.95,5,0.0,118.983,34.0,69.99,0.0,High Profit,False
Standard Class,Corporate,United States,Fresno,California,93727,West,Technology,Phones,377.928,9,0.2,141.723,37.50000000000001,41.992,75.5856,High Profit,False
Standard Class,Corporate,United States,Pearland,Texas,77581,Central,Office Supplies,Envelopes,13.392,3,0.2,5.022,37.50000000000001,4.4639999999999995,2.6784,Low Profit,False
Standard Class,Corporate,United States,Pearland,Texas,77581,Central,Office Supplies,Binders,11.228,7,0.8,-18.5262,-165.0,1.6039999999999999,8.9824,Loss,True
Standard Class,Consumer,United States,Richmond,Indiana,47374,Central,Office Supplies,Appliances,207.24,11,0.0,58.0272,27.999999999999996,18.84,0.0,Low Profit,False
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Art,1.504,1,0.2,0.1692,11.249999999999998,1.504,0.3008,Low Profit,False
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,34.848,2,0.2,6.534,18.75,17.424,6.9696,Low Profit,False
First Class,Consumer,United States,San Mateo,California,94403,West,Office Supplies,Labels,75.18,6,0.0,35.3346,47.0,12.530000000000001,0.0,Low Profit,False
Standard Class,Consumer,United States,Oakland,California,94601,West,Technology,Accessories,149.97,3,0.0,52.4895,35.0,49.99,0.0,Low Profit,False
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Binders,931.176,3,0.2,314.2719,33.75,310.392,186.23520000000002,High Profit,False
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,430.88,2,0.0,124.9552,29.000000000000004,215.44,0.0,High Profit,False
Standard Class,Corporate,United States,Lakewood,New Jersey,8701,East,Office Supplies,Paper,94.85,5,0.0,45.528,48.00000000000001,18.97,0.0,Low Profit,False
Standard Class,Corporate,United States,Lakewood,New Jersey,8701,East,Office Supplies,Envelopes,51.12,4,0.0,23.004,45.00000000000001,12.78,0.0,Low Profit,False
Standard Class,Corporate,United States,Lakewood,New Jersey,8701,East,Technology,Accessories,90.0,1,0.0,32.4,36.0,90.0,0.0,Low Profit,False
First Class,Corporate,United States,Tempe,Arizona,85281,West,Office Supplies,Paper,9.408,2,0.2,3.4104,36.25000000000001,4.704,1.8816,Low Profit,False
First Class,Corporate,United States,Tempe,Arizona,85281,West,Office Supplies,Fasteners,4.672,2,0.2,1.46,31.25,2.336,0.9344,Low Profit,False
First Class,Corporate,United States,Tempe,Arizona,85281,West,Technology,Phones,318.4,2,0.2,107.46,33.75,159.2,63.68,High Profit,False
First Class,Corporate,United States,Tempe,Arizona,85281,West,Office Supplies,Envelopes,12.768,6,0.2,4.6284,36.25,2.128,2.5536000000000003,Low Profit,False
First Class,Corporate,United States,Tempe,Arizona,85281,West,Office Supplies,Supplies,15.36,2,0.2,-3.264,-21.25,7.68,3.072,Loss,True
First Class,Corporate,United States,Tempe,Arizona,85281,West,Technology,Phones,230.376,3,0.2,20.1579,8.75,76.792,46.0752,Low Profit,False
First Class,Corporate,United States,Tempe,Arizona,85281,West,Technology,Accessories,7.16,1,0.2,-0.0895,-1.25,7.16,1.4320000000000002,Loss,True
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Storage,375.34,1,0.0,18.767,5.0,375.34,0.0,Low Profit,False
Second Class,Consumer,United States,New York City,New York,10009,East,Furniture,Furnishings,114.9,5,0.0,39.066,34.0,22.98,0.0,Low Profit,False
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,26.046,3,0.8,-44.2782,-170.0,8.682,20.8368,Loss,True
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Binders,2.896,1,0.8,-4.7784,-165.0,2.896,2.3168,Loss,True
Standard Class,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Storage,32.544,2,0.2,-7.7292,-23.75,16.272,6.5088,Loss,True
First Class,Consumer,United States,Riverside,California,92503,West,Office Supplies,Binders,3.984,1,0.2,1.3944,35.0,3.984,0.7968000000000001,Low Profit,False
Same Day,Consumer,United States,Fairfield,Connecticut,6824,East,Furniture,Tables,181.797,1,0.3,-15.5826,-8.571428571428571,181.797,54.5391,Loss,True
Same Day,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,44.94,3,0.0,12.5832,28.000000000000004,14.979999999999999,0.0,Low Profit,False
Same Day,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,45.576,3,0.2,15.9516,35.0,15.192,9.1152,Low Profit,False
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Furniture,Chairs,318.43,5,0.3,-77.333,-24.285714285714285,63.686,95.529,Loss,True
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Technology,Phones,122.92,7,0.2,46.095,37.5,17.56,24.584000000000003,Low Profit,False
Standard Class,Corporate,United States,Houston,Texas,77095,Central,Furniture,Furnishings,7.068,3,0.6,-2.8272,-40.0,2.356,4.240799999999999,Loss,True
First Class,Corporate,United States,Arlington,Virginia,22204,South,Office Supplies,Storage,56.45,5,0.0,14.677,25.999999999999996,11.290000000000001,0.0,Low Profit,False
Second Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,13.468,13,0.8,-22.8956,-170.00000000000003,1.036,10.7744,Loss,True
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Technology,Phones,219.8,5,0.2,24.7275,11.249999999999998,43.96,43.96000000000001,Low Profit,False
Standard Class,Consumer,United States,Grand Prairie,Texas,75051,Central,Furniture,Chairs,317.058,3,0.3,-18.1176,-5.714285714285714,105.68599999999999,95.11739999999999,Loss,True
Second Class,Corporate,United States,Seattle,Washington,98103,West,Technology,Accessories,49.08,3,0.0,4.908,10.0,16.36,0.0,Low Profit,False
Second Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Storage,324.9,5,0.0,38.988,12.000000000000002,64.97999999999999,0.0,Low Profit,False
Second Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Art,18.24,3,0.0,5.2896,29.000000000000004,6.079999999999999,0.0,Low Profit,False
Standard Class,Home Office,United States,Seattle,Washington,98103,West,Furniture,Chairs,113.888,2,0.2,9.9652,8.75,56.944,22.777600000000003,Low Profit,False
Standard Class,Home Office,United States,Seattle,Washington,98103,West,Technology,Phones,105.584,2,0.2,7.9188,7.5,52.792,21.1168,Low Profit,False
Standard Class,Corporate,United States,Grand Rapids,Michigan,49505,Central,Office Supplies,Fasteners,24.85,7,0.0,11.6795,47.0,3.5500000000000003,0.0,Low Profit,False
First Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,60.312,3,0.2,5.2773,8.75,20.104,12.0624,Low Profit,False
Second Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Art,7.056,3,0.2,2.205,31.25,2.352,1.4112,Low Profit,False
Second Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Phones,27.184,2,0.2,2.0388,7.5,13.592,5.436800000000001,Low Profit,False
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Phones,107.984,1,0.2,9.4486,8.75,107.984,21.5968,Low Profit,False
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,19.296,3,0.2,6.03,31.25,6.4319999999999995,3.8592,Low Profit,False
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Labels,4.608,2,0.2,1.6704,36.25000000000001,2.304,0.9216,Low Profit,False
Second Class,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,Tables,79.974,3,0.4,-29.3238,-36.666666666666664,26.658,31.989600000000003,Loss,True
Second Class,Corporate,United States,Franklin,Tennessee,37064,South,Office Supplies,Binders,2.946,2,0.7,-2.0622,-69.99999999999999,1.473,2.0622,Loss,True
Standard Class,Home Office,United States,Highland Park,Illinois,60035,Central,Office Supplies,Binders,3.136,2,0.8,-4.704,-149.99999999999997,1.568,2.5088000000000004,Loss,True
First Class,Corporate,United States,Pasadena,Texas,77506,Central,Office Supplies,Paper,20.736,4,0.2,7.2576,35.0,5.184,4.147200000000001,Low Profit,False
First Class,Corporate,United States,San Francisco,California,94109,West,Technology,Accessories,99.98,2,0.0,7.9984,8.0,49.99,0.0,Low Profit,False
First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,733.95,7,0.0,352.296,48.0,104.85000000000001,0.0,High Profit,False
First Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Appliances,241.44,3,0.0,72.432,30.0,80.48,0.0,Low Profit,False
Second Class,Corporate,United States,Miami,Florida,33180,South,Office Supplies,Labels,10.08,4,0.2,3.528,35.0,2.52,2.016,Low Profit,False
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Storage,281.904,2,0.2,10.5714,3.7500000000000004,140.952,56.3808,Low Profit,False
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Envelopes,201.432,3,0.2,67.9833,33.75,67.14399999999999,40.2864,Low Profit,False
Standard Class,Consumer,United States,Decatur,Alabama,35601,South,Technology,Phones,135.98,2,0.0,33.995,25.0,67.99,0.0,Low Profit,False
Standard Class,Consumer,United States,Decatur,Alabama,35601,South,Technology,Phones,44.95,1,0.0,12.586,27.999999999999996,44.95,0.0,Low Profit,False
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Technology,Accessories,2.97,3,0.0,1.3068,43.99999999999999,0.9900000000000001,0.0,Low Profit,False
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Fasteners,6.54,3,0.0,2.6814,41.0,2.18,0.0,Low Profit,False
Second Class,Corporate,United States,Visalia,California,93277,West,Technology,Accessories,7.92,8,0.0,3.4848,44.0,0.99,0.0,Low Profit,False
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Furniture,Chairs,203.92,5,0.2,22.941,11.25,40.784,40.784,Low Profit,False
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Copiers,3359.952,6,0.2,1049.985,31.249999999999993,559.9920000000001,671.9904000000001,High Profit,False
Standard Class,Corporate,United States,Overland Park,Kansas,66212,Central,Office Supplies,Fasteners,18.24,3,0.0,9.12,50.0,6.079999999999999,0.0,Low Profit,False
Standard Class,Corporate,United States,Overland Park,Kansas,66212,Central,Office Supplies,Art,27.78,6,0.0,9.1674,33.0,4.63,0.0,Low Profit,False
Second Class,Corporate,United States,Alexandria,Virginia,22304,South,Office Supplies,Art,22.96,7,0.0,7.5768,33.0,3.2800000000000002,0.0,Low Profit,False
Second Class,Corporate,United States,Alexandria,Virginia,22304,South,Technology,Phones,28.99,1,0.0,8.4071,29.000000000000004,28.99,0.0,Low Profit,False
